trial,duration_seconds,avg_bitrate_kbps,max_bitrate_kbps,min_bitrate_kbps,stddev_bitrate_kbps,quality_switches,avg_buffer_seconds,min_buffer_seconds,max_buffer_seconds,buffer_empty_count,time_at_360p_percent,time_at_480p_percent,time_at_720p_percent,time_at_1080p_percent,phase1_avg_bitrate,phase1_avg_buffer,phase2_avg_bitrate,phase2_avg_buffer,phase3_avg_bitrate,phase3_avg_buffer
001,136,4841.47794117647,5891.0,1247.0,1284.9037662014587,10,29.177205882352936,2.3,36.1,0,0.0,11.03,22.06,66.91,3366.6666666666665,17.951111111111114,5530.666666666667,34.19777777777778,5610.021739130435,35.24782608695652
002,136,4721.926470588235,5812.0,987.0,1377.9318191612676,11,27.969117647058823,1.8,36.2,0,4.41,11.76,16.91,66.91,3043.9777777777776,15.951111111111116,5425.6,32.69148148148148,5675.021739130435,35.10615942028985
003,136,2358.551470588235,4156.0,847.0,1225.3809797280612,13,17.165073529411764,2.1,28.9,0,19.12,38.24,42.65,0.0,2945.3333333333335,17.177777777777777,1882.5111111111112,15.45666666666667,2250.217391304348,18.82391304347826
004,136,2423.426470588235,4891.0,876.0,1294.0455749736686,15,15.798161764705881,1.9,29.1,0,19.12,37.5,36.03,7.35,3303.0222222222224,16.23222222222222,1813.5111111111112,14.895555555555555,2159.608695652174,16.256521739130434
005,136,2151.5588235294117,4123.0,756.0,1155.4447389045956,16,14.869485294117647,2.4,27.4,0,25.74,36.76,37.5,0.0,2708.8888888888887,15.959999999999996,1963.5777777777778,14.162222222222221,1790.2391304347825,14.494565217391305
